counter,date,year,location,tournament,logo,surface,opponent,flag,score,ranking,img
041,4 November,2013,London (ENG),ATP Finals,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-finals.png,Hard,R. Nadal (1),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,6-3 / 6-4,2,https://media.gettyimages.com/id/187685206/photo/barclays-atp-world-tour-finals-day-eight.jpg?s=594x594&w=0&k=20&c=nazlVHKdYL6feAY2R0nhp4blOeszspB4VyronR5FZ2k=
042,3 March,2014,Indian Wells (USA),ATP Masters 1000 Indian Wells,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,R. Federer (8),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,3-6 / 6-3 / 7-6,2,https://media.gettyimages.com/id/479167353/photo/bnp-paribas-open-day-14.jpg?s=594x594&w=0&k=20&c=NElQYy4bQk0YjErqN96xzyxkb-reGSoxxzEboHev2EA=
043,17 March,2014,Miami (USA),ATP Masters 1000 Miami,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,R. Nadal (1),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,6-3 / 6-3,2,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-for-photographers-with-the-butch-picture-id481570709?k=6&m=481570709&s=594x594&w=0&h=_UB0xx-o4Zd2a296R6HCBxqqC2FPo1TIdA9u3zJyPxA=
044,12 May,2014,Rome (ITA),ATP Masters 1000 Rome,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Clay,R. Nadal (1),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,4-6 / 6-3 / 6-3,2,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-with-the-trophy-after-defeating-rafael-nadal-picture-id491973429?k=6&m=491973429&s=594x594&w=0&h=t_es1vf-HxZatUqGeSBAFIFj1_w46BsOjEmmAc931sM=
045,23 June,2014,London (ENG),Wimbledon,https://pab-ns.github.io/100-x-djokovic//imgs/events/wimbledon.png,Grass,R. Federer (4),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,6-7 / 6-4 / 7-6 / 5-7 / 6-4,2,https://media.gettyimages.com/photos/serbias-novak-djokovic-holds-the-winners-trophy-after-beating-roger-picture-id451767486?k=6&m=451767486&s=594x594&w=0&h=KuOxnMr_czR45AXIfdbU3Wcq42WD_cuKwhyGhKfPI7Y=
046,29 September,2014,Beijing (CHN),ATP 500 Beijing,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-500.png,Hard,T. Berdych (6),https://pab-ns.github.io/100-x-djokovic//imgs/flags/cz.svg,6-0 / 6-2,1,https://media.gettyimages.com/id/456677858/photo/2014-china-open-day-9.jpg?s=594x594&w=0&k=20&c=W5OhPRmxaCmUpxuRLuncCc5D__jhTLz63wLbKLVjsvU=
047,27 October,2014,Paris (FRA),ATP Masters 1000 Paris,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,M. Raonic (10),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ca.svg,6-2 / 6-3,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-with-the-trophy-after-victory-against-picture-id458283398?k=6&m=458283398&s=594x594&w=0&h=EI-yFnVxqyDjwq6Jr0Xw5kl56MnQiqJui9xjCTV02UA=
048,10 November,2014,London (ENG),ATP Finals,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-finals.png,Hard,R. Federer (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,WO,1,https://media.gettyimages.com/id/459075518/photo/topshot-tennis-atp-finals.jpg?s=594x594&w=0&k=20&c=IVJ2LoZbrvANxcBITEkiSxE-eelnfrm4KABeQt6dFdg=
049,19 January,2015,Melbourne (AUS),Australian Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/ao.png,Hard,A. Murray (6),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,7-6 / 6-7 / 6-3 / 6-0,1,https://media.gettyimages.com/id/462617664/photo/2015-australian-open-day-14.jpg?s=594x594&w=0&k=20&c=sCet7naJBHAtvCy64yLgGG9Wfpp5kdQ2TffY_diz2so=
050,9 March,2015,Indian Wells (USA),ATP Masters 1000 Indian Wells,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,R. Federer (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,6-3 / 6-7 / 6-2,1,https://media.gettyimages.com/id/467297388/photo/bnp-paribas-open-day-14.jpg?s=594x594&w=0&k=20&c=9GVGnTebXERavjevMikdxCDfd8I8QcZGve-tFOj30rM=
